job_title,location,income,skill,データベース,AWS,機械学習,Webフレームワーク,データ分析,min_income,max_income,avg_income
Pythonエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 茨城県, 栃木県, 群馬県, 石川県, 滋賀県, 奈良県, 和歌山県, 福岡県",504万円〜1080万円,"SQL, Python, Django, AWS, PostgreSQL",1,1,0,1,0,504.0,1080.0,792.0
Pythonエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",530万円〜1000万円,"JavaScript, SQL, PHP, Ruby, Java, Python, Swift, Ruby on Rails, Django, React, TypeScript, iOS, Android, AWS, Docker, MySQL, Laravel, Golang, Vue.js, TensorFlow, PostgreSQL, Kotlin, Azure, Lambda, Kubernetes, Firebase, Jenkins, Elasticsearch, MongoDB, Spring, pandas, GCP, Matplotlib, Redis, scikit-learn, Flask",1,1,1,1,1,530.0,1000.0,765.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",400万円〜1100万円,"C#, C, C++, Objective-C, JavaScript, VBA, PHP, Ruby, Java, Python, Swift, Go, Django, Unity, React, TypeScript, AWS, Docker, MySQL, Laravel, Vue.js, PostgreSQL, Kotlin, Apache, Azure, Kubernetes, Oracle, Spring, Rust, GCP, React Native, Xamarin, Cordova, Flutter",1,1,0,1,0,400.0,1100.0,750.0
データエンジニア,東京都,400万円〜600万円,"SQL, Python",1,0,0,0,0,400.0,600.0,500.0
Pythonエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 愛知県, 福岡県",350万円〜700万円,"JavaScript, PHP, Ruby, Java, Python, Go, CakePHP, Django, React, TypeScript, AWS, Docker, MySQL, Vue.js, SQLServer",1,1,0,1,0,350.0,700.0,525.0
Webエンジニア,愛知県,400万円〜700万円,"C#, JavaScript, Java, Python, Swift, Django, React, TypeScript, AWS, Vue.js, PostgreSQL, Kotlin, Azure, Lambda, SQLServer, Flutter",1,1,0,1,0,400.0,700.0,550.0
バックエンドエンジニア,東京都,550万円〜800万円,"Ruby, Python, Ruby on Rails, React, TypeScript, AWS, MySQL, Vue.js, Lambda, Angular, Fargate",1,1,0,0,0,550.0,800.0,675.0
開発エンジニア,東京都,400万円〜800万円,"C#, JavaScript, ASP, ASP.NET, PHP, Ruby, Java, Python, Swift, Scala, Go, Struts, Ruby on Rails, Django, jQuery, Node.js, React, TypeScript, AWS, MySQL, Laravel, Golang, Vue.js, Kotlin, Apache, IoT, Azure, Kubernetes, MongoDB, Spring, Angular, GCP, React Native, Express, Flask, Flutter",1,1,0,1,0,400.0,800.0,600.0
Pythonエンジニア,東京都,350万円〜700万円,"Python, Docker",0,0,0,0,0,350.0,700.0,525.0
フルスタックエンジニア,フルリモート,420万円〜900万円,"JavaScript, PHP, Java, Python, Go, Node.js, React, TypeScript, AWS, Vue.js, Nuxt.js",0,1,0,0,0,420.0,900.0,660.0
開発エンジニア,東京都,370万円〜500万円,"C#, PHP, Ruby, Java, Python, Node.js, React, AWS, MySQL, Vue.js, PostgreSQL, Lambda, Elasticsearch, Oracle, NodeJS",1,1,0,0,0,370.0,500.0,435.0
Pythonエンジニア,"東京都, 神奈川県, 大阪府, 北海道, 福岡県",450万円〜1260万円,"JavaScript, SQL, Python, Django, AWS, Docker",1,1,0,1,0,450.0,1260.0,855.0
サーバーエンジニア,東京都,400万円〜800万円,"JavaScript, PHP, Ruby, Java, Python, Scala, Ruby on Rails, AWS, Docker, MySQL, Laravel, PostgreSQL, Lambda, Rust, Redis",1,1,0,0,0,400.0,800.0,600.0
クラウドエンジニア,東京都,400万円〜650万円,"JavaScript, SQL, Python, Django, React, TypeScript, AWS, MySQL, TensorFlow, OpenCV, Keras, GCP, Flask, VR",1,1,1,1,0,400.0,650.0,525.0
Pythonエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 茨城県, 栃木県, 群馬県, フルリモート",500万円〜800万円,"PHP, Python, Django, React, AWS, Docker, Laravel, Vue.js",0,1,0,1,0,500.0,800.0,650.0
バックエンドエンジニア,東京都,400万円〜600万円,"C, SQL, PHP, Java, Python, Go, Django, TypeScript, AWS, Lambda, GCP, Flask, SRE",1,1,0,1,0,400.0,600.0,500.0
